epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1917.87,1.12388,0.63293,1.3219,0.586,0.56987,0.54857,0.26217,1.88365,1.065,2.15558,0.000158546,0.000158546,0.000158546
79,1941.61,1.1021,0.61448,1.29901,0.644,0.53865,0.56543,0.26552,1.90506,1.07277,2.21398,0.000151943,0.000151943,0.000151943
80,1966.72,1.1006,0.61519,1.29998,0.59629,0.55696,0.56534,0.2678,1.92983,1.06793,2.2366,0.000145339,0.000145339,0.000145339
81,1992.08,1.08434,0.60685,1.2856,0.61723,0.55853,0.55456,0.26575,1.86625,1.04589,2.15183,0.000138736,0.000138736,0.000138736
82,2016.28,1.07994,0.60246,1.28728,0.55654,0.57417,0.54515,0.26291,1.86717,1.02751,2.17622,0.000132133,0.000132133,0.000132133
83,2039.85,1.07282,0.60077,1.27922,0.57593,0.54739,0.54555,0.26286,1.86266,1.05824,2.15286,0.000125529,0.000125529,0.000125529
84,2064.24,1.06235,0.59608,1.27175,0.57562,0.55075,0.54826,0.2656,1.85903,1.04511,2.1785,0.000118926,0.000118926,0.000118926
85,2088.05,1.06058,0.59332,1.26715,0.58501,0.54712,0.5491,0.26183,1.88823,1.06912,2.21399,0.000112323,0.000112323,0.000112323
86,2112.1,1.04918,0.59083,1.277,0.582,0.57618,0.5423,0.26234,1.86236,1.0513,2.18273,0.00010572,0.00010572,0.00010572
87,2135.76,1.03036,0.58039,1.25959,0.58555,0.5697,0.55042,0.26341,1.86726,1.05185,2.19778,9.91162e-05,9.91162e-05,9.91162e-05
88,2159.19,1.03,0.57451,1.24517,0.61959,0.55181,0.54084,0.26099,1.87956,1.09128,2.19052,9.25129e-05,9.25129e-05,9.25129e-05
89,2182.89,1.02825,0.57135,1.25775,0.60465,0.57296,0.54732,0.26368,1.88307,1.07034,2.21662,8.59096e-05,8.59096e-05,8.59096e-05
90,2207.85,1.02598,0.57037,1.24804,0.61895,0.55344,0.53997,0.26075,1.86301,1.08437,2.1812,7.93063e-05,7.93063e-05,7.93063e-05
91,2232.97,0.98018,0.50058,1.2748,0.64894,0.56279,0.5488,0.26243,1.87579,1.0731,2.2335,7.2703e-05,7.2703e-05,7.2703e-05
92,2256.2,0.95698,0.4831,1.26346,0.6252,0.54983,0.54741,0.2627,1.87083,1.07682,2.22255,6.60997e-05,6.60997e-05,6.60997e-05
93,2279.15,0.94851,0.47874,1.25164,0.58312,0.5709,0.54443,0.26169,1.87711,1.07547,2.23257,5.94964e-05,5.94964e-05,5.94964e-05
94,2302.15,0.92469,0.47135,1.22498,0.57105,0.56626,0.54518,0.26131,1.88999,1.07062,2.27924,5.28931e-05,5.28931e-05,5.28931e-05
95,2325.75,0.92195,0.46508,1.22101,0.60279,0.53996,0.53795,0.26041,1.87982,1.06357,2.26351,4.62898e-05,4.62898e-05,4.62898e-05
96,2350.08,0.91085,0.46367,1.22283,0.62414,0.55779,0.54136,0.26109,1.87556,1.06295,2.26259,3.96865e-05,3.96865e-05,3.96865e-05
97,2373.37,0.89438,0.45365,1.20257,0.59665,0.542,0.53831,0.26166,1.89028,1.10206,2.25919,3.30832e-05,3.30832e-05,3.30832e-05
98,2396.91,0.89386,0.45478,1.21337,0.59523,0.53942,0.5392,0.26351,1.89034,1.09863,2.27654,2.64799e-05,2.64799e-05,2.64799e-05
99,2420.07,0.88784,0.45134,1.19597,0.60229,0.53998,0.53532,0.25925,1.8898,1.10681,2.26717,1.98766e-05,1.98766e-05,1.98766e-05
100,2443.37,0.87119,0.44568,1.19968,0.62072,0.54894,0.54239,0.26099,1.88999,1.09326,2.28572,1.32733e-05,1.32733e-05,1.32733e-05
